panel,mechanism,point,x1,x2,signal
a,Null,59,-0.1690308509457033,-1.6057930839841814,0.0
a,Null,60,-0.08451542547285165,-1.6057930839841814,0.0
a,Null,61,0.0,-1.6057930839841814,0.0
a,Null,62,0.08451542547285165,-1.6057930839841814,0.0
a,Null,63,0.1690308509457033,-1.6057930839841814,0.0
a,Null,64,0.253546276418555,-1.6057930839841814,0.0
a,Null,65,0.3380617018914066,-1.6057930839841814,0.0
a,Null,66,0.4225771273642583,-1.6057930839841814,0.0
a,Null,67,0.50709255283711,-1.6057930839841814,0.0
a,Null,68,0.5916079783099616,-1.6057930839841814,0.0
a,Null,69,0.6761234037828132,-1.6057930839841814,0.0
a,Null,70,0.760638829255665,-1.6057930839841814,0.0
a,Null,71,0.8451542547285166,-1.6057930839841814,0.0
a,Null,72,0.9296696802013682,-1.6057930839841814,0.0
a,Null,73,1.01418510567422,-1.6057930839841814,0.0
a,Null,74,1.0987005311470714,-1.6057930839841814,0.0
a,Null,75,1.1832159566199232,-1.6057930839841814,0.0
a,Null,76,1.267731382092775,-1.6057930839841814,0.0
a,Null,77,1.3522468075656264,-1.6057930839841814,0.0
a,Null,78,1.4367622330384782,-1.6057930839841814,0.0
a,Null,79,1.52127765851133,-1.6057930839841814,0.0
a,Null,80,1.6057930839841814,-1.6057930839841814,0.0
a,Null,81,1.6903085094570331,-1.6057930839841814,0.0
a,Null,82,-1.6903085094570331,-1.52127765851133,0.0
a,Null,83,-1.6057930839841814,-1.52127765851133,0.0
a,Null,84,-1.52127765851133,-1.52127765851133,0.0
a,Null,85,-1.4367622330384782,-1.52127765851133,0.0
a,Null,86,-1.3522468075656264,-1.52127765851133,0.0
a,Null,87,-1.267731382092775,-1.52127765851133,0.0
a,Null,88,-1.1832159566199232,-1.52127765851133,0.0
a,Null,89,-1.0987005311470714,-1.52127765851133,0.0
a,Null,90,-1.01418510567422,-1.52127765851133,0.0
a,Null,91,-0.9296696802013682,-1.52127765851133,0.0
a,Null,92,-0.8451542547285166,-1.52127765851133,0.0
a,Null,93,-0.760638829255665,-1.52127765851133,0.0
a,Null,94,-0.6761234037828132,-1.52127765851133,0.0
a,Null,95,-0.5916079783099616,-1.52127765851133,0.0
a,Null,96,-0.50709255283711,-1.52127765851133,0.0
a,Null,97,-0.4225771273642583,-1.52127765851133,0.0
a,Null,98,-0.3380617018914066,-1.52127765851133,0.0
a,Null,99,-0.253546276418555,-1.52127765851133,0.0
a,Null,100,-0.1690308509457033,-1.52127765851133,0.0
a,Null,101,-0.08451542547285165,-1.52127765851133,0.0
a,Null,102,0.0,-1.52127765851133,0.0
a,Null,103,0.08451542547285165,-1.52127765851133,0.0
a,Null,104,0.1690308509457033,-1.52127765851133,0.0
a,Null,105,0.253546276418555,-1.52127765851133,0.0
a,Null,106,0.3380617018914066,-1.52127765851133,0.0
a,Null,107,0.4225771273642583,-1.52127765851133,0.0
a,Null,108,0.50709255283711,-1.52127765851133,0.0
a,Null,109,0.5916079783099616,-1.52127765851133,0.0
a,Null,110,0.6761234037828132,-1.52127765851133,0.0
a,Null,111,0.760638829255665,-1.52127765851133,0.0
a,Null,112,0.8451542547285166,-1.52127765851133,0.0
a,Null,113,0.9296696802013682,-1.52127765851133,0.0
a,Null,114,1.01418510567422,-1.52127765851133,0.0
a,Null,115,1.0987005311470714,-1.52127765851133,0.0
a,Null,116,1.1832159566199232,-1.52127765851133,0.0
a,Null,117,1.267731382092775,-1.52127765851133,0.0
a,Null,118,1.3522468075656264,-1.52127765851133,0.0
a,Null,119,1.4367622330384782,-1.52127765851133,0.0
a,Null,120,1.52127765851133,-1.52127765851133,0.0
a,Null,121,1.6057930839841814,-1.52127765851133,0.0
a,Null,122,1.6903085094570331,-1.52127765851133,0.0
a,Null,123,-1.6903085094570331,-1.4367622330384782,0.0
a,Null,124,-1.6057930839841814,-1.4367622330384782,0.0
a,Null,125,-1.52127765851133,-1.4367622330384782,0.0
a,Null,126,-1.4367622330384782,-1.4367622330384782,0.0
a,Null,127,-1.3522468075656264,-1.4367622330384782,0.0
a,Null,128,-1.267731382092775,-1.4367622330384782,0.0
a,Null,129,-1.1832159566199232,-1.4367622330384782,0.0
a,Null,130,-1.0987005311470714,-1.4367622330384782,0.0
a,Null,131,-1.01418510567422,-1.4367622330384782,0.0
a,Null,132,-0.9296696802013682,-1.4367622330384782,0.0
a,Null,133,-0.8451542547285166,-1.4367622330384782,0.0
a,Null,134,-0.760638829255665,-1.4367622330384782,0.0
a,Null,135,-0.6761234037828132,-1.4367622330384782,0.0
a,Null,136,-0.5916079783099616,-1.4367622330384782,0.0
a,Null,137,-0.50709255283711,-1.4367622330384782,0.0
a,Null,138,-0.4225771273642583,-1.4367622330384782,0.0
a,Null,139,-0.3380617018914066,-1.4367622330384782,0.0
a,Null,140,-0.253546276418555,-1.4367622330384782,0.0
a,Null,141,-0.1690308509457033,-1.4367622330384782,0.0
a,Null,142,-0.08451542547285165,-1.4367622330384782,0.0
a,Null,143,0.0,-1.4367622330384782,0.0
a,Null,144,0.08451542547285165,-1.4367622330384782,0.0
a,Null,145,0.1690308509457033,-1.4367622330384782,0.0
a,Null,146,0.253546276418555,-1.4367622330384782,0.0
