panel,series,point,x,y
continuous,Mean,51,0.050000000000000266,40.1
continuous,Mean,52,0.10000000000000009,40.2
continuous,Mean,53,0.15000000000000036,40.3
continuous,Mean,54,0.20000000000000018,40.4
continuous,Mean,55,0.25,40.5
continuous,Mean,56,0.30000000000000027,40.6
continuous,Mean,57,0.3500000000000001,40.7
continuous,Mean,58,0.40000000000000036,40.8
continuous,Mean,59,0.4500000000000002,40.9
continuous,Mean,60,0.5,41.0
continuous,Mean,61,0.5500000000000003,41.1
continuous,Mean,62,0.6000000000000001,41.2
continuous,Mean,63,0.6500000000000004,41.3
continuous,Mean,64,0.7000000000000002,41.4
continuous,Mean,65,0.75,41.5
continuous,Mean,66,0.8000000000000003,41.6
continuous,Mean,67,0.8500000000000001,41.7
continuous,Mean,68,0.9000000000000004,41.8
continuous,Mean,69,0.9500000000000002,41.9
continuous,Mean,70,1.0,42.0
continuous,Mean,71,1.0500000000000003,42.1
continuous,Mean,72,1.1,42.2
continuous,Mean,73,1.1500000000000004,42.3
continuous,Mean,74,1.2000000000000002,42.4
continuous,Mean,75,1.25,42.5
continuous,Mean,76,1.3000000000000003,42.6
continuous,Mean,77,1.35,42.7
continuous,Mean,78,1.4000000000000004,42.8
continuous,Mean,79,1.4500000000000002,42.9
continuous,Mean,80,1.5,43.0
continuous,Mean,81,1.5499999999999998,43.1
continuous,Mean,82,1.6000000000000005,43.2
continuous,Mean,83,1.6500000000000004,43.3
continuous,Mean,84,1.7000000000000002,43.4
continuous,Mean,85,1.75,43.5
continuous,Mean,86,1.7999999999999998,43.6
continuous,Mean,87,1.8500000000000005,43.7
continuous,Mean,88,1.9000000000000004,43.8
continuous,Mean,89,1.9500000000000002,43.9
continuous,Mean,90,2.0,44.0
continuous,Mean,91,2.05,44.1
continuous,Mean,92,2.1000000000000005,44.2
continuous,Mean,93,2.1500000000000004,44.3
continuous,Mean,94,2.2,44.4
continuous,Mean,95,2.25,44.5
continuous,Mean,96,2.3000000000000007,44.6
continuous,Mean,97,2.3500000000000005,44.7
continuous,Mean,98,2.4000000000000004,44.8
continuous,Mean,99,2.45,44.9
continuous,Mean,100,2.5,45.0
count,Mean,0,-2.5,0.6917970383608028
count,Mean,1,-2.45,0.7103970421181689
count,Mean,2,-2.4,0.7294971349487607
count,Mean,3,-2.35,0.7491107624993865
count,Mean,4,-2.3,0.7692517319232902
count,Mean,5,-2.25,0.7899342215997945
count,Mean,6,-2.2,0.8111727911152733
count,Mean,7,-2.15,0.8329823915124759
count,Mean,8,-2.1,0.8553783758154201
count,Mean,9,-2.05,0.8783765098372643
count,Mean,10,-2.0,0.9019929832787629
count,Mean,11,-1.95,0.926244421125123
count,Mean,12,-1.9,0.9511478953492803
count,Mean,13,-1.85,0.976720936929838
count,Mean,14,-1.7999999999999998,1.0029815481921232
count,Mean,15,-1.75,1.0299482154810524
count,Mean,16,-1.7,1.057639922174727
count,Mean,17,-1.65,1.0860761620479173
count,Mean,18,-1.6,1.1152769529948443
count,Mean,19,-1.5499999999999998,1.1452628511209202
count,Mean,20,-1.5,1.1760549652133645
count,Mean,21,-1.45,1.2076749716008872
count,Mean,22,-1.4,1.2401451294128931
count,Mean,23,-1.3499999999999999,1.273488296248957
count,Mean,24,-1.2999999999999998,1.3077279442695933
count,Mean,25,-1.25,1.3428881767196506
count,Mean,26,-1.2,1.3789937448959646
count,Mean,27,-1.15,1.4160700655712088
count,Mean,28,-1.0999999999999999,1.4541432388862143
count,Mean,29,-1.0499999999999998,1.4932400667233494
count,Mean,30,-1.0,1.5333880715738968
count,Mean,31,-0.95,1.5746155159127087
count,Mean,32,-0.8999999999999999,1.6169514220937764
count,Mean,33,-0.8499999999999999,1.6604255927807248
count,Mean,34,-0.7999999999999998,1.7050686319266095
count,Mean,35,-0.75,1.750911966317789
count,Mean,36,-0.7,1.797987867697036
count,Mean,37,-0.6499999999999999,1.8463294754814596
count,Mean,38,-0.5999999999999999,1.8959708200912355
count,Mean,39,-0.5499999999999998,1.9469468469055646
count,Mean,40,-0.5,1.9992934408627199
count,Mean,41,-0.44999999999999973,2.0530474517215085
count,Mean,42,-0.3999999999999999,2.1082467200019184
count,Mean,43,-0.3500000000000001,2.1649301036232265
count,Mean,44,-0.2999999999999998,2.2231375052583084
count,Mean,45,-0.25,2.282909900423406
count,Mean,46,-0.19999999999999973,2.34428936632314
count,Mean,47,-0.1499999999999999,2.4073191114710553
count,Mean,48,-0.09999999999999964,2.4720435061065644
count,Mean,49,-0.04999999999999982,2.538508113429694
count,Mean,50,0.0,2.6067597216756244
count,Mean,51,0.050000000000000266,2.676846377051605
count,Mean,52,0.10000000000000009,2.7488174175594198
count,Mean,53,0.15000000000000036,2.822723507727232
count,Mean,54,0.20000000000000018,2.898616674275236
count,Mean,55,0.25,2.9765503427402416
count,Mean,56,0.30000000000000027,3.0565793750849615
count,Mean,57,0.3500000000000001,3.138760108318481
count,Mean,58,0.40000000000000036,3.2231503941551005
count,Mean,59,0.4500000000000002,3.309809639739459
count,Mean,60,0.5,3.3987988494666235
count,Mean,61,0.5500000000000003,3.490180667926564
count,Mean,62,0.6000000000000001,3.5840194240032606
count,Mean,63,0.6500000000000004,3.680381176159486
count,Mean,64,0.7000000000000002,3.779333758939124
count,Mean,65,0.75,3.8809468307197896
count,Mean,66,0.8000000000000003,3.985291922749339
count,Mean,67,0.8500000000000001,4.092442489500794
count,Mean,68,0.9000000000000004,4.202473960381159
